g,Psi,T,SE_T,GR
10,-0.5,0.7134,0.1260,1.4018
30,-0.5,0.9098,0.1532,1.0991
50,-0.5,1.1250,0.1824,0.8889
10,-0.6,0.9930,0.1185,1.0071
30,-0.6,1.2597,0.1388,0.7938
50,-0.6,1.5446,0.1602,0.6474
10,-0.7,1.7812,0.1071,0.5614
30,-0.7,2.2767,0.1181,0.4392
50,-0.7,2.8251,0.1362,0.3540
10,-0.8,2.8203,0.1075,0.3546
30,-0.8,3.6370,0.1314,0.2750
50,-0.8,4.5823,0.1878,0.2182
10,-0.9,4.3613,0.1827,0.2293
30,-0.9,6.2070,0.2979,0.1611
50,-0.9,10.4398,0.7505,0.0958
10,-1,Inf,0.0000,0.0000
30,-1,Inf,0.0000,0.0000
50,-1,Inf,0.0000,0.0000
10,-1.1,Inf,0.0000,0.0000
30,-1.1,Inf,0.0000,0.0000
50,-1.1,Inf,0.0000,0.0000
10,-1.2,Inf,0.0000,0.0000
30,-1.2,Inf,0.0000,0.0000
50,-1.2,Inf,0.0000,0.0000
10,-1.5,Inf,0.0000,0.0000
30,-1.5,Inf,0.0000,0.0000
50,-1.5,Inf,0.0000,0.0000
