Genotype,Block,Environment,Yield
Chiaro_A,1,bad_1,4.36
Chiaro_P,1,bad_1,2.76
Collameno_A,1,bad_1,3.01
Collameno_P,1,bad_1,2.5
Palomb_A,1,bad_1,3.85
Palomb_P,1,bad_1,2.21
Scuro_A,1,bad_1,4.97
Scuro_P,1,bad_1,3.45
Sicania_A,1,bad_1,4.38
Sicania_P,1,bad_1,3.24
Vesuvio_A,1,bad_1,4.47
Vesuvio_P,1,bad_1,2.44
Chiaro_A,1,bad_2,2.03
Chiaro_P,1,bad_2,1.09
Collameno_A,1,bad_2,1.73
Collameno_P,1,bad_2,0.03
Palomb_A,1,bad_2,2.12
Palomb_P,1,bad_2,0.84
Scuro_A,1,bad_2,1.83
Scuro_P,1,bad_2,1.46
Sicania_A,1,bad_2,1.79
Sicania_P,1,bad_2,0.78
Vesuvio_A,1,bad_2,1.73
Vesuvio_P,1,bad_2,1.15
Chiaro_A,1,bad_3,4.19
Chiaro_P,1,bad_3,4.31
Collameno_A,1,bad_3,4.59
Collameno_P,1,bad_3,4.13
Palomb_A,1,bad_3,4.31
Palomb_P,1,bad_3,3.83
Scuro_A,1,bad_3,4.31
Scuro_P,1,bad_3,3.94
Sicania_A,1,bad_3,4.79
Sicania_P,1,bad_3,3.99
Vesuvio_A,1,bad_3,4.44
Vesuvio_P,1,bad_3,3.88
Chiaro_A,1,pap_1,4.84
Chiaro_P,1,pap_1,3.25
Collameno_A,1,pap_1,3.98
Collameno_P,1,pap_1,2.64
Palomb_A,1,pap_1,5
Palomb_P,1,pap_1,3.46
Scuro_A,1,pap_1,4.88
Scuro_P,1,pap_1,3.82
Sicania_A,1,pap_1,3.99
Sicania_P,1,pap_1,4.14
Vesuvio_A,1,pap_1,4.27
Vesuvio_P,1,pap_1,3.12
Chiaro_A,1,pap_2,2.05
Chiaro_P,1,pap_2,1.16
Collameno_A,1,pap_2,2.01
Collameno_P,1,pap_2,0.9
Palomb_A,1,pap_2,2.38
Palomb_P,1,pap_2,0.97
Scuro_A,1,pap_2,2.36
Scuro_P,1,pap_2,1.62
Sicania_A,1,pap_2,2.31
