Year,Genotype,N,Block,Yield
2004,A,1,1,2.235
2004,A,1,2,2.605
2004,A,1,3,2.323
2004,A,2,1,3.766
2004,A,2,2,4.094
2004,A,2,3,3.902
2004,B,1,1,4.088
2004,B,1,2,4.307
2004,B,1,3,4.379
2004,B,2,1,4.278
2004,B,2,2,4.218
2004,B,2,3,3.468
2004,C,1,1,2.332
2004,C,1,2,3.009
2004,C,1,3,2.807
2004,C,2,1,2.573
2004,C,2,2,3.139
2004,C,2,3,2.958
2004,D,1,1,3.621
2004,D,1,2,4.154
2004,D,1,3,3.428
2004,D,2,1,3.500
2004,D,2,2,3.990
2004,D,2,3,3.886
2004,E,1,1,3.577
2004,E,1,2,4.293
2004,E,1,3,3.829
2004,E,2,1,3.478
2004,E,2,2,4.376
2004,E,2,3,3.652
2004,F,1,1,2.843
2004,F,1,2,3.399
2004,F,1,3,2.912
2004,F,2,1,3.538
2004,F,2,2,4.102
2004,F,2,3,3.888
2004,G,1,1,4.394
2004,G,1,2,3.934
2004,G,1,3,3.881
2004,G,2,1,4.083
2004,G,2,2,3.721
2004,G,2,3,3.889
2004,H,1,1,3.296
2004,H,1,2,3.497
2004,H,1,3,3.216
2004,H,2,1,4.379
2004,H,2,2,4.412
2004,H,2,3,4.309
2004,I,1,1,2.657
2004,I,1,2,2.953
2004,I,1,3,3.127
2004,I,2,1,3.823
2004,I,2,2,3.604
2004,I,2,3,3.131
2004,J,1,1,3.612
2004,J,1,2,3.680
2004,J,1,3,3.075
2004,J,2,1,4.040
2004,J,2,2,3.741
2004,J,2,3,3.711
2004,K,1,1,3.123
2004,K,1,2,3.495
2004,K,1,3,3.649
2004,K,2,1,4.038
2004,K,2,2,4.321
2004,K,2,3,4.032
2004,L,1,1,3.891
2004,L,1,2,4.275
2004,L,1,3,3.667
2004,L,2,1,3.975
2004,L,2,2,4.904
2004,L,2,3,3.709
2004,M,1,1,3.007
2004,M,1,2,3.856
2004,M,1,3,3.288
2004,M,2,1,3.246
2004,M,2,2,3.470
2004,M,2,3,3.183
2004,N,1,1,4.094
2004,N,1,2,3.954
2004,N,1,3,3.730
2004,N,2,1,3.516
2004,N,2,2,4.079
2004,N,2,3,4.220
2004,O,1,1,4.267
2004,O,1,2,4.646
2004,O,1,3,4.487
2004,O,2,1,4.195
2004,O,2,2,4.589
2004,O,2,3,4.059
2005,A,1,1,2.270
2005,A,1,2,2.172
2005,A,1,3,2.683
2005,A,2,1,2.822
2005,A,2,2,2.579
2005,A,2,3,3.086
2005,B,1,1,3.129
2005,B,1,2,2.847
2005,B,1,3,3.122
2005,B,2,1,3.562
2005,B,2,2,3.202
2005,B,2,3,3.447
2005,C,1,1,2.656
2005,C,1,2,2.187
2005,C,1,3,2.705
2005,C,2,1,2.414
2005,C,2,2,1.950
2005,C,2,3,2.529
2005,D,1,1,2.998
2005,D,1,2,2.660
2005,D,1,3,2.853
2005,D,2,1,3.554
2005,D,2,2,3.221
2005,D,2,3,3.362
2005,E,1,1,3.502
2005,E,1,2,3.139
2005,E,1,3,3.454
2005,E,2,1,3.668
2005,E,2,2,3.478
2005,E,2,3,3.663
2005,F,1,1,3.170
2005,F,1,2,2.888
2005,F,1,3,3.154
2005,F,2,1,3.444
2005,F,2,2,3.129
2005,F,2,3,3.458
2005,G,1,1,3.020
2005,G,1,2,2.747
2005,G,1,3,2.860
2005,G,2,1,3.254
2005,G,2,2,2.996
2005,G,2,3,3.149
2005,H,1,1,2.920
2005,H,1,2,2.684
2005,H,1,3,2.913
2005,H,2,1,3.380
2005,H,2,2,3.098
2005,H,2,3,3.275
2005,I,1,1,2.998
2005,I,1,2,2.775
2005,I,1,3,3.120
2005,I,2,1,2.875
2005,I,2,2,2.658
2005,I,2,3,2.929
2005,J,1,1,3.141
2005,J,1,2,2.666
2005,J,1,3,3.054
2005,J,2,1,3.905
2005,J,2,2,3.350
2005,J,2,3,3.660
2005,K,1,1,3.345
2005,K,1,2,2.948
2005,K,1,3,3.232
2005,K,2,1,3.666
2005,K,2,2,3.298
2005,K,2,3,3.658
2005,L,1,1,3.608
2005,L,1,2,3.174
2005,L,1,3,3.462
2005,L,2,1,3.691
2005,L,2,2,3.302
2005,L,2,3,3.631
2005,M,1,1,2.525
2005,M,1,2,1.826
2005,M,1,3,2.445
2005,M,2,1,3.389
2005,M,2,2,2.774
2005,M,2,3,3.286
2005,N,1,1,3.056
2005,N,1,2,3.015
2005,N,1,3,2.953
2005,N,2,1,3.863
2005,N,2,2,3.759
2005,N,2,3,3.749
2005,O,1,1,3.046
2005,O,1,2,2.710
2005,O,1,3,2.809
2005,O,2,1,3.633
2005,O,2,2,3.340
2005,O,2,3,3.453
2006,A,1,1,0.995
2006,A,1,2,0.776
