Dish,Temp,GR10,GR30,GR50,ES10,ES30,ES50
1,1,0,0,0,0,0,0
2,1,0,0,0,0,0,0
3,1,0,0,0,0,0,0
4,3,0,0,0,0,0,0
5,3,0,0,0,0,0,0
6,3,0.057550713,0,0,0.002707223,0,0
7,5,0.087262252,0.065416627,0.046910206,0.004467847,0.002708313,0.002803239
8,5,0.089020992,0.067071875,0.051620977,0.00467281,0.00272797,0.00257127
9,5,0.088663673,0.067219657,0.051627323,0.004486041,0.00266344,0.00257358
10,7,0.139931392,0.101766451,0.081368636,0.008061614,0.004548828,0.003832381
11,7,0.138629448,0.09755824,0.076311188,0.008856242,0.004865657,0.004062291
12,7,0.13546886,0.098174797,0.078164744,0.007787725,0.004424273,0.003803816
13,10,0.260502593,0.193436578,0.158894163,0.015095085,0.008224979,0.006329813
14,10,0.261116174,0.190375578,0.154503916,0.015998838,0.008614489,0.006574016
15,10,0.25750896,0.190087079,0.154928425,0.015176462,0.008235594,0.006366108
16,15,0.456665606,0.357972945,0.305331408,0.02181998,0.01246403,0.010160624
17,15,0.456571094,0.359132519,0.307277811,0.021545706,0.01237513,0.010102845
18,15,0.460371499,0.362838656,0.310008195,0.021676591,0.012380681,0.010154971
19,20,0.726607015,0.566148743,0.478526888,0.042951307,0.023111827,0.017633969
20,20,0.721017965,0.567008657,0.481703941,0.042157438,0.022741924,0.017343658
21,20,0.704079126,0.554774108,0.471385118,0.040324315,0.021780737,0.016822726
22,25,0.822611604,0.65097068,0.556584889,0.050986359,0.028428574,0.020986463
23,25,0.857473569,0.669179981,0.568030635,0.053427098,0.029863991,0.022288041
24,25,0.893129457,0.675616853,0.561800946,0.057893215,0.03161069,0.023743326
25,30,0.856269957,0.622528622,0.498972248,0.06015701,0.031603894,0.023826798
26,30,0.872461113,0.650184214,0.531807447,0.059027198,0.031737371,0.023841179
27,30,0,0,0,0,0,0
28,33,0.729288162,0.517651796,0.371813864,0.052303117,0.027096691,0.02351059
29,33,0.70386477,0.508546032,0.377435884,0.048552102,0.025142434,0.021692242
30,33,0.690899273,0.521218949,0.409261989,0.043682567,0.022918496,0.019714736
31,35,0.377589484,0.140474993,0,0.040062058,0.020854639,0
32,35,0.443578476,0.209593868,0,0.044819104,0.023817235,0
33,35,0.454118225,0.25059045,0,0.042898031,0.021982422,0
34,37,0.287116835,0,0,0.031440149,0,0
35,37,0.300363539,0.14364824,0,0.027424112,0.01527514,0
36,37,0.275263533,0,0,0.025048639,0,0
37,38,0,0,0,0,0,0
38,38,0,0,0,0,0,0
39,38,0,0,0,0,0,0
40,39,0,0,0,0,0,0
41,39,0,0,0,0,0,0
42,39,0,0,0,0,0,0
43,40,0,0,0,0,0,0
44,40,0,0,0,0,0,0
45,40,0,0,0,0,0,0
