Dish,Temp,g,GR,ES
1,1,10,0,0
2,1,10,0,0
3,1,10,0,0
4,3,10,0,0
5,3,10,0,0
6,3,10,0.057550713,0.002707223
7,5,10,0.087262252,0.004467847
8,5,10,0.089020992,0.00467281
9,5,10,0.088663673,0.004486041
10,7,10,0.139931392,0.008061614
11,7,10,0.138629448,0.008856242
12,7,10,0.13546886,0.007787725
13,10,10,0.260502593,0.015095085
14,10,10,0.261116174,0.015998838
15,10,10,0.25750896,0.015176462
16,15,10,0.456665606,0.02181998
17,15,10,0.456571094,0.021545706
18,15,10,0.460371499,0.021676591
19,20,10,0.726607015,0.042951307
20,20,10,0.721017965,0.042157438
21,20,10,0.704079126,0.040324315
22,25,10,0.822611604,0.050986359
23,25,10,0.857473569,0.053427098
24,25,10,0.893129457,0.057893215
25,30,10,0.856269957,0.06015701
26,30,10,0.872461113,0.059027198
27,30,10,0,0
28,33,10,0.729288162,0.052303117
29,33,10,0.70386477,0.048552102
30,33,10,0.690899273,0.043682567
31,35,10,0.377589484,0.040062058
32,35,10,0.443578476,0.044819104
33,35,10,0.454118225,0.042898031
34,37,10,0.287116835,0.031440149
35,37,10,0.300363539,0.027424112
36,37,10,0.275263533,0.025048639
37,38,10,0,0
38,38,10,0,0
39,38,10,0,0
40,39,10,0,0
41,39,10,0,0
42,39,10,0,0
43,40,10,0,0
44,40,10,0,0
45,40,10,0,0
1,1,30,0,0
2,1,30,0,0
3,1,30,0,0
4,3,30,0,0
5,3,30,0,0
6,3,30,0,0
7,5,30,0.065416627,0.002708313
8,5,30,0.067071875,0.00272797
9,5,30,0.067219657,0.00266344
10,7,30,0.101766451,0.004548828
11,7,30,0.09755824,0.004865657
12,7,30,0.098174797,0.004424273
13,10,30,0.193436578,0.008224979
14,10,30,0.190375578,0.008614489
15,10,30,0.190087079,0.008235594
16,15,30,0.357972945,0.01246403
17,15,30,0.359132519,0.01237513
18,15,30,0.362838656,0.012380681
19,20,30,0.566148743,0.023111827
20,20,30,0.567008657,0.022741924
21,20,30,0.554774108,0.021780737
22,25,30,0.65097068,0.028428574
23,25,30,0.669179981,0.029863991
24,25,30,0.675616853,0.03161069
25,30,30,0.622528622,0.031603894
26,30,30,0.650184214,0.031737371
27,30,30,0,0
28,33,30,0.517651796,0.027096691
29,33,30,0.508546032,0.025142434
30,33,30,0.521218949,0.022918496
31,35,30,0.140474993,0.020854639
32,35,30,0.209593868,0.023817235
33,35,30,0.25059045,0.021982422
34,37,30,0,0
35,37,30,0.14364824,0.01527514
36,37,30,0,0
37,38,30,0,0
38,38,30,0,0
39,38,30,0,0
40,39,30,0,0
41,39,30,0,0
42,39,30,0,0
43,40,30,0,0
44,40,30,0,0
45,40,30,0,0
1,1,50,0,0
2,1,50,0,0
3,1,50,0,0
4,3,50,0,0
5,3,50,0,0
6,3,50,0,0
7,5,50,0.046910206,0.002803239
8,5,50,0.051620977,0.00257127
9,5,50,0.051627323,0.00257358
10,7,50,0.081368636,0.003832381
11,7,50,0.076311188,0.004062291
12,7,50,0.078164744,0.003803816
13,10,50,0.158894163,0.006329813
14,10,50,0.154503916,0.006574016
15,10,50,0.154928425,0.006366108
16,15,50,0.305331408,0.010160624
17,15,50,0.307277811,0.010102845
18,15,50,0.310008195,0.010154971
19,20,50,0.478526888,0.017633969
20,20,50,0.481703941,0.017343658
21,20,50,0.471385118,0.016822726
22,25,50,0.556584889,0.020986463
23,25,50,0.568030635,0.022288041
24,25,50,0.561800946,0.023743326
25,30,50,0.498972248,0.023826798
26,30,50,0.531807447,0.023841179
27,30,50,0,0
28,33,50,0.371813864,0.02351059
29,33,50,0.377435884,0.021692242
30,33,50,0.409261989,0.019714736
31,35,50,0,0
32,35,50,0,0
33,35,50,0,0
34,37,50,0,0
35,37,50,0,0
36,37,50,0,0
37,38,50,0,0
38,38,50,0,0
39,38,50,0,0
40,39,50,0,0
41,39,50,0,0
42,39,50,0,0
43,40,50,0,0
44,40,50,0,0
45,40,50,0,0
