Id,Subject,Date,Mark,Year,HighSchool
1,AGRONOMY,10/06/2002,30,2001,CLASSICO
2,AGRONOMY,08/07/2002,24,2001,AGRARIO
3,AGRONOMY,24/06/2002,30,2001,AGRARIO
4,AGRONOMY,24/06/2002,26,2001,CLASSICO
5,AGRONOMY,23/01/2003,30,2001,CLASSICO
6,AGRONOMY,09/09/2002,28,2001,AGRARIO
7,AGRONOMY,24/02/2003,26,2001,CLASSICO
8,AGRONOMY,09/09/2002,26,2001,SCIENTIFICO
9,AGRONOMY,09/09/2002,23,2001,RAGIONERIA
10,AGRONOMY,08/07/2002,27,2001,CLASSICO
11,AGRONOMY,09/09/2002,28,2001,SCIENTIFICO
12,AGRONOMY,24/06/2002,24,2001,ALTRO
13,AGRONOMY,24/02/2003,24,2001,SCIENTIFICO
14,AGRONOMY,09/09/2002,21,2001,SCIENTIFICO
15,AGRONOMY,09/09/2002,24,2001,AGRARIO
16,AGRONOMY,08/07/2002,25,2001,RAGIONERIA
17,AGRONOMY,10/06/2002,30,2001,CLASSICO
18,AGRONOMY,10/06/2002,30,2001,AGRARIO
19,AGRONOMY,09/09/2002,30,2001,AGRARIO
20,AGRONOMY,09/09/2002,30,2001,ALTRO
21,AGRONOMY,09/09/2002,23,2001,ALTRO
22,AGRONOMY,23/01/2003,30,2001,RAGIONERIA
23,AGRONOMY,23/01/2003,25,2001,ALTRO
24,FRUIT TREES,06/02/2003,28,2002,ALTRO
25,FRUIT TREES,06/02/2003,30,2002,RAGIONERIA
26,FRUIT TREES,06/02/2003,27,2002,SCIENTIFICO
27,FRUIT TREES,06/02/2003,28,2002,AGRARIO
28,FRUIT TREES,06/02/2003,25,2002,ALTRO
29,FRUIT TREES,06/02/2003,29,2002,SCIENTIFICO
30,FRUIT TREES,06/02/2003,26,2002,ALTRO
31,FRUIT TREES,01/07/2003,23,2002,RAGIONERIA
32,FRUIT TREES,06/02/2003,26,2002,AGRARIO
33,FRUIT TREES,06/02/2003,26,2002,CLASSICO
34,FRUIT TREES,06/02/2003,30,2002,AGRARIO
35,FRUIT TREES,27/02/2003,28,2002,SCIENTIFICO
36,FRUIT TREES,06/02/2003,26,2002,CLASSICO
37,BIOLOGY,28/02/2002,26,2001,ALTRO
38,BIOLOGY,28/02/2002,30,2001,AGRARIO
39,BIOLOGY,23/01/2002,26,2001,RAGIONERIA
40,BIOLOGY,14/06/2002,25,2001,ALTRO
41,BIOLOGY,28/06/2002,28,2001,RAGIONERIA
42,BIOLOGY,28/02/2002,30,2001,RAGIONERIA
43,BIOLOGY,14/06/2002,25,2001,CLASSICO
44,BIOLOGY,28/02/2002,27,2001,CLASSICO
45,BIOLOGY,28/06/2002,28,2001,SCIENTIFICO
46,BIOLOGY,28/02/2002,26,2001,SCIENTIFICO
47,BIOLOGY,15/02/2002,28,2001,AGRARIO
48,BIOLOGY,28/02/2002,30,2001,AGRARIO
49,BIOLOGY,10/07/2003,26,2002,CLASSICO
50,BIOLOGY,28/02/2002,24,2001,ALTRO
51,BIOLOGY,01/03/2002,18,2001,CLASSICO
52,BIOLOGY,23/01/2002,30,2001,CLASSICO
53,BIOLOGY,28/02/2002,24,2001,AGRARIO
54,BIOLOGY,28/02/2002,22,2001,CLASSICO
55,BIOLOGY,28/02/2002,27,2001,ALTRO
56,BIOLOGY,05/03/2002,26,2002,AGRARIO
57,BIOLOGY,23/01/2002,24,2001,RAGIONERIA
58,BIOLOGY,15/02/2002,30,2001,RAGIONERIA
59,BIOLOGY,24/01/2002,30,2001,AGRARIO
60,BIOLOGY,28/02/2002,24,2001,CLASSICO
61,BIOLOGY,15/02/2002,30,2001,CLASSICO
62,BIOLOGY,05/07/2002,23,2001,SCIENTIFICO
63,BIOLOGY,28/02/2002,27,2001,ALTRO
64,CHEMISTRY,18/06/2003,20,2002,AGRARIO
65,CHEMISTRY,06/06/2002,21,2001,CLASSICO
66,CHEMISTRY,20/02/2003,21,2002,CLASSICO
67,CHEMISTRY,20/02/2003,18,2002,AGRARIO
